Features,Importance
slfl_elongation,0.024311509403073854
afsl_number_of_tracts,0.017588292222478003
cfpl_number_of_tracts,0.01612273246221545
cfpr_volume,0.01300259659881014
cfpr_nrdi06L,0.01278000113935869
ufsl_radius_of_end_region_1,0.012196857833694624
fatr_elongation,0.01193254516990323
fatr_irregularity_of_end_region_1,0.010665248058301295
slfl_area_of_end_region_1,0.010181552177618925
fatl_number_of_tracts,0.009305015122193908
ufsr_elongation,0.009128481346104894
fatl_radius_of_end_region_1,0.008960929604144428
ufsr_irregularity_of_end_region_2,0.008885377491342815
fatl_iso,0.008879665426874418
slfr_iso,0.008518835239010196
afsl_radius_of_end_region_1,0.008517747033142571
cfpr_mean_length,0.008206596364192945
slfl_total_area_of_end_regions,0.008115228541333844
fatr_iso,0.007898581944357027
ufsl_iso,0.00764028651910921
afsr_diameter,0.007529973302587744
slfl_curl,0.007444978865398566
ufsr_nrdi06L,0.007190650503454424
ufsl_number_of_tracts,0.007176599300845397
slfl_irregularity_of_end_region_1,0.007093846111546946
afsr_nrdi06L,0.0070217867103227445
slfr_volume,0.006892662752280756
slfl_trunk_volume,0.006889733924792064
ufsr_total_area_of_end_regions,0.0068625606915873605
fatr_diameter,0.006833664271814785
ufsr_trunk_volume,0.00678120809590612
ufsl_dti_fa,0.006774554034361751
ufsr_number_of_tracts,0.0067584159640231714
cfpr_iso,0.006711759013145397
fatl_irregularity_of_end_region_1,0.006561512761932349
afsl_total_area_of_end_regions,0.006556307371850509
cfpr_area_of_end_region_1,0.006554275271681881
afsl_radius_of_end_region_2,0.006534414660641985
cfpl_irregularity_of_end_region_1,0.006509137101084156
afsr_iso,0.006503830602950295
ufsl_irregularity_of_end_region_1,0.006245953604447953
slfl_branch_volume,0.006245667577662303
fatl_span,0.006186116450248518
afsl_iso,0.006155788421858274
slfr_span,0.006134540328031414
afsr_trunk_volume,0.005908265520262002
cfpr_irregularity_of_end_region_2,0.005904350965565166
afsr_number_of_tracts,0.0058477196857185405
slfr_irregularity_of_end_region_2,0.005826642836993097
fatl_area_of_end_region_1,0.0057732459106053305
cfpr_radius_of_end_region_1,0.00552057322039707
slfr_irregularity_of_end_region_1,0.005471593343451388
ufsr_diameter,0.005434652053509855
