0,N
number of tracts	636,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	0
mean length(mm)	111.73,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	1
span(mm)	24.7579,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	2
curl	4.5129,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	3
elongation	14.5035,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	4
diameter(mm)	7.70366,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	5
volume(mm^3)	5207.79,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	3021.06,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	2186.72,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	14283.7,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	29.4986,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	284.969,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	11
irregularity	5.28232,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	143.953,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	17.5892,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	14
irregularity of end region 1	6.7518,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	141.016,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	11.9094,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	17
irregularity of end region 2	3.15984,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	18
qa	0.175903,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	19
dti_fa	0.307069,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	20
md	0.970459,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	21
ad	1.27338,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	22
rd	0.818997,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	23
iso	0.568444,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	24
rdi	0.372122,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	25
nrdi02L	0.478543,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	26
nrdi04L	0.188571,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	27
nrdi06L	0.0296052,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	28
,sub-10171_dwi.Arcuate_Fasciculus_R.stat.txt	29
number of tracts	11753,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	0
mean length(mm)	107.021,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	1
span(mm)	25.2867,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	2
curl	4.23228,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	3
elongation	6.72533,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	4
diameter(mm)	15.9131,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	5
volume(mm^3)	21284.5,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	17798.3,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	3486.22,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	34800.5,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	18.9451,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	2921.18,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	11
irregularity	6.50451,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	2060.39,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	11.8972,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	14
irregularity of end region 1	0.21582,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	860.783,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	7.04788,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.18129,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	18
qa	0.0895893,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	19
dti_fa	0.464436,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	20
md	0.731631,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	21
ad	1.10133,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	22
rd	0.546785,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	23
iso	0.214621,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	24
rdi	0.147216,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	25
nrdi02L	0.188481,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	26
nrdi04L	0.0738726,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	27
nrdi06L	0.0112633,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	28
,sub-10189_dwi.Arcuate_Fasciculus_R.stat.txt	29
number of tracts	1996,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	0
mean length(mm)	96.2646,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	1
span(mm)	28.9997,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	2
curl	3.3195,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	3
elongation	9.97604,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	4
diameter(mm)	9.64958,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	5
volume(mm^3)	7040.01,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	5849.21,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	1190.8,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	15922,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	16.8564,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	807.902,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	11
irregularity	5.45599,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	218.378,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	10.8493,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	14
irregularity of end region 1	1.69335,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	589.524,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	6.00705,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.192296,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	18
qa	0.108585,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	19
dti_fa	0.473646,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	20
md	0.805992,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	21
ad	1.22689,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	22
rd	0.595544,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	23
iso	0.236109,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	24
rdi	0.16409,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	25
nrdi02L	0.210349,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	26
nrdi04L	0.0825696,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	27
nrdi06L	0.0126956,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	28
,sub-10206_dwi.Arcuate_Fasciculus_R.stat.txt	29
number of tracts	8463,sub-10217_dwi.Arcuate_Fasciculus_R.stat.txt	0
mean length(mm)	108.911,sub-10217_dwi.Arcuate_Fasciculus_R.stat.txt	1
span(mm)	31.0193,sub-10217_dwi.Arcuate_Fasciculus_R.stat.txt	2
curl	3.51109,sub-10217_dwi.Arcuate_Fasciculus_R.stat.txt	3
elongation	7.20481,sub-10217_dwi.Arcuate_Fasciculus_R.stat.txt	4
diameter(mm)	15.1165,sub-10217_dwi.Arcuate_Fasciculus_R.stat.txt	5
volume(mm^3)	19546.3,sub-10217_dwi.Arcuate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	6243.86,sub-10217_dwi.Arcuate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	13302.5,sub-10217_dwi.Arcuate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	37782.4,sub-10217_dwi.Arcuate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	24.7461,sub-10217_dwi.Arcuate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	2272.9,sub-10217_dwi.Arcuate_Fasciculus_R.stat.txt	11
irregularity	7.30491,sub-10217_dwi.Arcuate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	1181.01,sub-10217_dwi.Arcuate_Fasciculus_R.stat.txt	13
