0,N
number of tracts	8000,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	0
mean length(mm)	111.008,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	1
span(mm)	46.9512,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	2
curl	2.36433,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	3
elongation	8.14289,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	4
diameter(mm)	13.6325,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	5
volume(mm^3)	16203.1,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	6
trunk volume(mm^3)	9243.38,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	7
branch volume(mm^3)	6959.71,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	8
total surface area(mm^2)	32254.4,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	9
total radius of end regions(mm)	25.6044,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	10
total area of end regions(mm^2)	3866.18,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	11
irregularity	6.78434,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	12
area of end region 1(mm^2)	1398.4,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	13
radius of end region 1(mm)	12.301,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	14
irregularity of end region 1	0.339934,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	15
area of end region 2(mm^2)	2467.77,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	16
radius of end region 2(mm)	13.3035,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	17
irregularity of end region 2	0.225307,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	18
qa	0.23424,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	19
dti_fa	0.523266,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	20
md	0.808453,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	21
ad	1.33564,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	22
rd	0.544861,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	23
iso	0.431456,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	24
rdi	0.305685,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	25
nrdi02L	0.391593,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	26
nrdi04L	0.153586,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	27
nrdi06L	0.023506,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	28
,sub-10171_dwi.Cingulum_Frontal_Parietal_L.stat.txt	29
number of tracts	6605,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	0
mean length(mm)	93.752,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	1
span(mm)	41.6172,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	2
curl	2.25272,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	3
elongation	7.61464,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	4
diameter(mm)	12.3121,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	5
volume(mm^3)	11161.8,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	6
trunk volume(mm^3)	8567.68,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	7
branch volume(mm^3)	2594.1,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	8
total surface area(mm^2)	23535.9,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	9
total radius of end regions(mm)	22.4883,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	10
total area of end regions(mm^2)	3157.18,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	11
irregularity	6.49036,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	12
area of end region 1(mm^2)	1323,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	13
radius of end region 1(mm)	12.3061,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	14
irregularity of end region 1	0.359608,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	15
area of end region 2(mm^2)	1834.18,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	16
radius of end region 2(mm)	10.1822,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	17
irregularity of end region 2	0.17758,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	18
qa	0.0942392,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	19
dti_fa	0.513529,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	20
md	0.754296,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	21
ad	1.23328,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	22
rd	0.514803,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	23
iso	0.192904,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	24
rdi	0.134993,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	25
nrdi02L	0.172786,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	26
nrdi04L	0.0676994,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	27
nrdi06L	0.0103037,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	28
,sub-10189_dwi.Cingulum_Frontal_Parietal_L.stat.txt	29
number of tracts	4292,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	0
mean length(mm)	74.8584,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	1
span(mm)	33.1724,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	2
curl	2.25665,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	3
elongation	6.32267,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	4
diameter(mm)	11.8397,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	5
volume(mm^3)	8241.58,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	6
trunk volume(mm^3)	5008.99,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	7
branch volume(mm^3)	3232.59,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	8
total surface area(mm^2)	18491.7,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	9
total radius of end regions(mm)	19.341,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	10
total area of end regions(mm^2)	2147.55,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	11
irregularity	6.64118,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	12
area of end region 1(mm^2)	1049.78,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	13
radius of end region 1(mm)	11.3852,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	14
irregularity of end region 1	0.38791,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	15
area of end region 2(mm^2)	1097.77,sub-10206_dwi.Cingulum_Frontal_Parietal_L.stat.txt	16
