0,N
number of tracts	7377,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	0
mean length(mm)	95.4999,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	1
span(mm)	41.7525,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	2
curl	2.28729,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	3
elongation	7.20347,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	4
diameter(mm)	13.2575,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	5
volume(mm^3)	13183,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	6
trunk volume(mm^3)	10871.9,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	7
branch volume(mm^3)	2311.09,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	8
total surface area(mm^2)	26856.6,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	9
total radius of end regions(mm)	21.2875,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	10
total area of end regions(mm^2)	3363.81,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	11
irregularity	6.75208,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	12
area of end region 1(mm^2)	1304.39,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	13
radius of end region 1(mm)	9.17516,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	14
irregularity of end region 1	0.202754,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	15
area of end region 2(mm^2)	2059.42,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	16
radius of end region 2(mm)	12.1123,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	17
irregularity of end region 2	0.2238,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	18
qa	0.227633,sub-10171_dwi.Cingulum_Frontal_Parietal_R.stat.txt	19
