0,N
number of tracts	9181,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	0
mean length(mm)	81.4596,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	1
span(mm)	29.4166,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	2
curl	2.76917,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	3
elongation	4.33879,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	4
diameter(mm)	18.7747,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	5
volume(mm^3)	22551.7,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	6
trunk volume(mm^3)	17154.9,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	7
branch volume(mm^3)	5396.79,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	8
total surface area(mm^2)	37785.3,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	9
total radius of end regions(mm)	19.0369,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	10
total area of end regions(mm^2)	3377.52,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	11
irregularity	7.86425,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	12
area of end region 1(mm^2)	1511.02,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	13
radius of end region 1(mm)	8.01129,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	14
irregularity of end region 1	0.133439,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	15
area of end region 2(mm^2)	1866.5,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	16
radius of end region 2(mm)	11.0257,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	17
irregularity of end region 2	0.204612,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	18
qa	0.176781,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	19
dti_fa	0.395443,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	20
md	0.875357,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	21
ad	1.23678,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	22
rd	0.694643,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	23
iso	0.456861,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	24
rdi	0.30854,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	25
nrdi02L	0.396158,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	26
nrdi04L	0.15581,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	27
nrdi06L	0.0242128,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	28
,sub-10171_dwi.Frontal_Aslant_Tract_L.stat.txt	29
number of tracts	9564,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	0
mean length(mm)	80.6407,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	1
span(mm)	29.5513,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	2
curl	2.72883,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	3
elongation	4.45395,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	4
diameter(mm)	18.1054,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	5
volume(mm^3)	20761.6,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	6
trunk volume(mm^3)	18142.1,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	7
branch volume(mm^3)	2619.56,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	8
total surface area(mm^2)	34275.6,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	9
total radius of end regions(mm)	24.0205,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	10
total area of end regions(mm^2)	3263.92,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	11
irregularity	7.47261,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	12
area of end region 1(mm^2)	1383.72,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	13
radius of end region 1(mm)	12.9967,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	14
irregularity of end region 1	0.383505,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	15
area of end region 2(mm^2)	1880.21,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	16
radius of end region 2(mm)	11.0237,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	17
irregularity of end region 2	0.203049,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	18
qa	0.0699622,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	19
dti_fa	0.407778,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	20
md	0.84301,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	21
ad	1.18418,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	22
rd	0.672424,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	23
iso	0.188443,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	24
rdi	0.126266,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	25
nrdi02L	0.162166,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	26
nrdi04L	0.0638011,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	27
nrdi06L	0.00993197,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	28
,sub-10189_dwi.Frontal_Aslant_Tract_L.stat.txt	29
number of tracts	6777,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	0
mean length(mm)	74.764,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	1
span(mm)	29.5969,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	2
curl	2.52608,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	3
elongation	4.03394,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	4
diameter(mm)	18.5337,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	5
volume(mm^3)	20170.1,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	6
trunk volume(mm^3)	19827.4,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	7
branch volume(mm^3)	342.746,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	8
total surface area(mm^2)	37796.1,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	9
total radius of end regions(mm)	20.7117,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	10
total area of end regions(mm^2)	3358.91,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	11
irregularity	8.68243,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	12
area of end region 1(mm^2)	1466.95,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	13
radius of end region 1(mm)	9.31107,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	14
irregularity of end region 1	0.185666,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	15
area of end region 2(mm^2)	1891.96,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	16
radius of end region 2(mm)	11.4006,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	17
irregularity of end region 2	0.21582,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	18
qa	0.0955418,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	19
dti_fa	0.4517,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	20
md	0.814935,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	21
ad	1.22377,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	22
rd	0.610517,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	23
iso	0.226975,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	24
rdi	0.154525,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	25
nrdi02L	0.198173,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	26
nrdi04L	0.0778305,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	27
nrdi06L	0.0120009,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	28
,sub-10206_dwi.Frontal_Aslant_Tract_L.stat.txt	29
number of tracts	8641,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	0
mean length(mm)	77.4291,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	1
span(mm)	26.7479,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	2
curl	2.89478,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	3
elongation	3.97885,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	4
diameter(mm)	19.4602,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	5
volume(mm^3)	23029.6,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	6
trunk volume(mm^3)	19486.6,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	7
branch volume(mm^3)	3543.02,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	8
total surface area(mm^2)	40868.1,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	9
total radius of end regions(mm)	24.3516,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	10
total area of end regions(mm^2)	3891.64,sub-10217_dwi.Frontal_Aslant_Tract_L.stat.txt	11
