0,N
number of tracts	7921,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	0
mean length(mm)	81.599,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	1
span(mm)	31.9084,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	2
curl	2.55729,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	3
elongation	4.67626,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	4
diameter(mm)	17.4496,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	5
volume(mm^3)	19514,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	6
trunk volume(mm^3)	18665,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	7
branch volume(mm^3)	849.031,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	8
total surface area(mm^2)	33496.1,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	9
total radius of end regions(mm)	18.8619,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	10
total area of end regions(mm^2)	2964.27,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	11
irregularity	7.48814,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	12
area of end region 1(mm^2)	1567.82,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	13
radius of end region 1(mm)	10.7137,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	14
irregularity of end region 1	0.230002,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	15
area of end region 2(mm^2)	1396.45,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	16
radius of end region 2(mm)	8.14818,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	17
irregularity of end region 2	0.149364,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	18
qa	0.182345,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	19
dti_fa	0.404769,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	20
md	0.858579,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	21
ad	1.22993,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	22
rd	0.672901,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	23
iso	0.440475,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	24
rdi	0.301578,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	25
nrdi02L	0.386908,sub-10171_dwi.Frontal_Aslant_Tract_R.stat.txt	26
