0,N
number of tracts	1202,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	101.148,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	33.0465,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.06077,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	11.6197,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	8.70485,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	6019.6,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	4418.49,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	1601.11,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	14506,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	22.2023,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	601.275,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	5.24422,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	149.829,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	16.6141,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	5.78771,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	451.446,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	5.58826,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.217319,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.217217,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.459398,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
