0,N
number of tracts	1925,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	115.703,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	37.6772,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.0709,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	14.0523,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	8.2337,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	6160.62,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	4117.85,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	2042.77,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	14554,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	11.1492,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	654.156,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	4.86287,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	309.451,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	6.94258,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.489328,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	344.705,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	4.20666,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.161279,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.224562,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.4821,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.844124,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.32023,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.60607,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.436916,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.308918,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.396064,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.155497,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.0239317,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-10171_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
,sub-10189_dwi.Superior_Longitudinal_Fasciculus1_R.no_result.txt	0
number of tracts	426,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	82.1929,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	23.565,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.48792,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	13.9605,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	5.88753,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	2237.64,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	1187.86,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	1049.78,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	6658.09,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	15.596,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	266.363,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	4.37958,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	136.119,sub-10206_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
