0,N
number of tracts	4055,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	0
mean length(mm)	80.834,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	1
span(mm)	14.9888,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	2
curl	5.39297,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	3
elongation	6.05374,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	4
diameter(mm)	13.3527,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	5
volume(mm^3)	11319.4,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	9239.46,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	2079.98,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	18854,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	18.7617,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	1878.25,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	11
irregularity	5.56018,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	1212.34,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	8.37147,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.181605,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	665.907,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	10.3903,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.50932,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	18
qa	0.176838,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	19
dti_fa	0.384583,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	20
md	0.872766,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	21
ad	1.24669,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	22
rd	0.685802,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	23
iso	0.46635,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	24
rdi	0.312666,sub-10171_dwi.Uncinate_Fasciculus_L.stat.txt	25
