0,N
number of tracts	4950,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	0
mean length(mm)	61.0658,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	1
span(mm)	8.97232,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	2
curl	6.80602,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	3
elongation	3.55464,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	4
diameter(mm)	17.1792,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	5
volume(mm^3)	14154.4,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	9877.95,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	4276.49,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	21228.7,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	18.4475,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	2693.99,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	11
irregularity	6.4413,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	1553.13,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	8.8243,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	14
irregularity of end region 1	0.157508,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	1140.86,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	9.6232,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.255011,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	18
qa	0.160238,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	19
dti_fa	0.330088,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	20
md	0.934941,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	21
ad	1.259,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	22
rd	0.772912,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	23
iso	0.50362,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	24
rdi	0.330688,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	25
nrdi02L	0.424823,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	26
nrdi04L	0.167195,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	27
nrdi06L	0.0260764,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	28
,sub-10171_dwi.Uncinate_Fasciculus_R.stat.txt	29
number of tracts	3627,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	0
mean length(mm)	52.8185,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	1
span(mm)	15.1074,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	2
curl	3.4962,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	3
elongation	3.13703,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	4
diameter(mm)	16.8371,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	5
volume(mm^3)	11760.1,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	7918.42,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	3841.7,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	19638.4,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	19.1517,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	2108.38,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	11
irregularity	7.02914,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	1175.13,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	9.02383,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	14
irregularity of end region 1	0.217693,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	933.249,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	10.1279,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.345293,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	18
qa	0.0713552,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	19
dti_fa	0.34861,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	20
md	0.871383,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	21
ad	1.17555,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	22
rd	0.719298,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	23
iso	0.231146,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	24
rdi	0.151857,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	25
nrdi02L	0.194836,sub-10189_dwi.Uncinate_Fasciculus_R.stat.txt	26
