,,0
fatr_span,fatr_curl,-0.9255637001293803
fatr_curl,fatr_span,-0.9255637001293803
fatl_diameter,fatl_elongation,-0.9227506168705476
fatl_elongation,fatl_diameter,-0.9227506168705476
cfpl_rd,cfpl_dti_fa,-0.919457772663742
cfpl_dti_fa,cfpl_rd,-0.919457772663742
cfpr_rd,cfpr_dti_fa,-0.9091872268536104
cfpr_dti_fa,cfpr_rd,-0.9091872268536104
fatr_diameter,fatr_elongation,-0.9086984029676118
fatr_elongation,fatr_diameter,-0.9086984029676118
cfpr_diameter,cfpr_irregularity_of_end_region_1,-0.8778253597519333
cfpr_irregularity_of_end_region_1,cfpr_diameter,-0.8778253597519333
afsr_diameter,afsr_elongation,-0.8758505063088757
afsr_elongation,afsr_diameter,-0.8758505063088757
cfpr_diameter,cfpr_irregularity_of_end_region_2,-0.8713911150493241
cfpr_irregularity_of_end_region_2,cfpr_diameter,-0.8713911150493241
slfl_elongation,slfl_diameter,-0.8638252437966212
slfl_diameter,slfl_elongation,-0.8638252437966212
afsl_diameter,afsl_elongation,-0.8607134272360245
afsl_elongation,afsl_diameter,-0.8607134272360245
afsl_dti_fa,afsl_rd,-0.8577233792913244
afsl_rd,afsl_dti_fa,-0.8577233792913244
fatl_span,fatl_curl,-0.8500894002262646
fatl_curl,fatl_span,-0.8500894002262646
cfpl_total_radius_of_end_regions,cfpr_irregularity_of_end_region_1,-0.8486761859701978
cfpr_irregularity_of_end_region_1,cfpl_total_radius_of_end_regions,-0.8486761859701978
cfpl_total_radius_of_end_regions,cfpr_irregularity_of_end_region_2,-0.8477985229475962
cfpr_irregularity_of_end_region_2,cfpl_total_radius_of_end_regions,-0.8477985229475962
fatl_curl,cfpr_diameter,-0.8438578041936626
cfpr_diameter,fatl_curl,-0.8438578041936626
cfpr_irregularity_of_end_region_1,cfpl_diameter,-0.8425302640345053
cfpl_diameter,cfpr_irregularity_of_end_region_1,-0.8425302640345053
afsr_irregularity,afsr_elongation,-0.8410244245290875
afsr_elongation,afsr_irregularity,-0.8410244245290875
cfpl_diameter,cfpr_irregularity_of_end_region_2,-0.8362863914183961
cfpr_irregularity_of_end_region_2,cfpl_diameter,-0.8362863914183961
afsl_curl,afsl_span,-0.8355614806409485
afsl_span,afsl_curl,-0.8355614806409485
cfpl_number_of_tracts,cfpr_irregularity_of_end_region_1,-0.8350316653468789
cfpr_irregularity_of_end_region_1,cfpl_number_of_tracts,-0.8350316653468789
cfpl_radius_of_end_region_2,cfpr_irregularity_of_end_region_2,-0.8349734663147829
cfpr_irregularity_of_end_region_2,cfpl_radius_of_end_region_2,-0.8349734663147829
cfpl_radius_of_end_region_2,cfpr_irregularity_of_end_region_1,-0.8342821656649184
cfpr_irregularity_of_end_region_1,cfpl_radius_of_end_region_2,-0.8342821656649184
cfpr_irregularity_of_end_region_2,cfpl_number_of_tracts,-0.8299706087650844
cfpl_number_of_tracts,cfpr_irregularity_of_end_region_2,-0.8299706087650844
cfpl_mean_length,cfpr_irregularity_of_end_region_2,-0.821871898748656
cfpr_irregularity_of_end_region_2,cfpl_mean_length,-0.821871898748656
afsl_irregularity,afsl_elongation,-0.8216388022363756
afsl_elongation,afsl_irregularity,-0.8216388022363756
cfpr_irregularity_of_end_region_1,cfpl_mean_length,-0.8170290868756417
cfpl_mean_length,cfpr_irregularity_of_end_region_1,-0.8170290868756417
fatl_volume,fatl_elongation,-0.8148726084626708
fatl_elongation,fatl_volume,-0.8148726084626708
fatl_irregularity_of_end_region_1,cfpr_diameter,-0.8108949911777787
cfpr_diameter,fatl_irregularity_of_end_region_1,-0.8108949911777787
slfr_rd,slfr_dti_fa,-0.8083716397719025
slfr_dti_fa,slfr_rd,-0.8083716397719025
fatl_curl,cfpl_total_radius_of_end_regions,-0.8082653618380408
cfpl_total_radius_of_end_regions,fatl_curl,-0.8082653618380408
fatl_curl,cfpl_irregularity,-0.8060674643569389
cfpl_irregularity,fatl_curl,-0.8060674643569389
cfpr_irregularity_of_end_region_1,cfpl_irregularity,-0.8013903584315022
cfpl_irregularity,cfpr_irregularity_of_end_region_1,-0.8013903584315022
cfpl_radius_of_end_region_2,fatr_irregularity_of_end_region_2,-0.8001833917133208
fatr_irregularity_of_end_region_2,cfpl_radius_of_end_region_2,-0.8001833917133208
cfpr_irregularity_of_end_region_2,cfpl_irregularity,-0.7957068597286813
cfpl_irregularity,cfpr_irregularity_of_end_region_2,-0.7957068597286813
ufsr_dti_fa,ufsr_rd,-0.7928825242910008
ufsr_rd,ufsr_dti_fa,-0.7928825242910008
cfpl_number_of_tracts,fatl_elongation,-0.7925850658287719
fatl_elongation,cfpl_number_of_tracts,-0.7925850658287719
fatl_elongation,fatl_total_surface_area,-0.7912453862329649
fatl_total_surface_area,fatl_elongation,-0.7912453862329649
cfpl_span,cfpr_irregularity_of_end_region_2,-0.7906595517260111
cfpr_irregularity_of_end_region_2,cfpl_span,-0.7906595517260111
cfpl_span,cfpr_irregularity_of_end_region_1,-0.7899985565216742
cfpr_irregularity_of_end_region_1,cfpl_span,-0.7899985565216742
fatr_elongation,fatr_volume,-0.7862346232885788
fatr_volume,fatr_elongation,-0.7862346232885788
ufsr_span,ufsr_curl,-0.784652531935953
ufsr_curl,ufsr_span,-0.784652531935953
cfpr_diameter,fatr_irregularity_of_end_region_1,-0.7835800655142504
fatr_irregularity_of_end_region_1,cfpr_diameter,-0.7835800655142504
fatl_curl,cfpl_radius_of_end_region_2,-0.7828088985382831
cfpl_radius_of_end_region_2,fatl_curl,-0.7828088985382831
slfl_diameter,slfl_irregularity_of_end_region_2,-0.7786340549866019
slfl_irregularity_of_end_region_2,slfl_diameter,-0.7786340549866019
slfr_span,slfr_curl,-0.7768200707397823
slfr_curl,slfr_span,-0.7768200707397823
fatl_elongation,cfpl_diameter,-0.7767133373663659
cfpl_diameter,fatl_elongation,-0.7767133373663659
fatl_curl,cfpl_diameter,-0.7764560024385002
cfpl_diameter,fatl_curl,-0.7764560024385002
fatl_elongation,fatl_total_area_of_end_regions,-0.7727338342023062
fatl_total_area_of_end_regions,fatl_elongation,-0.7727338342023062
afsr_qa,cfpl_elongation,-0.7725643072517125
cfpl_elongation,afsr_qa,-0.7725643072517125
cfpr_irregularity_of_end_region_2,cfpr_number_of_tracts,-0.7719566888753657
cfpr_number_of_tracts,cfpr_irregularity_of_end_region_2,-0.7719566888753657
cfpl_number_of_tracts,fatr_irregularity_of_end_region_2,-0.7714409399678501
fatr_irregularity_of_end_region_2,cfpl_number_of_tracts,-0.7714409399678501
cfpr_irregularity_of_end_region_1,cfpr_number_of_tracts,-0.7692576322966568
cfpr_number_of_tracts,cfpr_irregularity_of_end_region_1,-0.7692576322966568
cfpr_elongation,cfpr_diameter,-0.7684965810603985
cfpr_diameter,cfpr_elongation,-0.7684965810603985
cfpr_total_area_of_end_regions,cfpr_irregularity_of_end_region_1,-0.7650656318751072
cfpr_irregularity_of_end_region_1,cfpr_total_area_of_end_regions,-0.7650656318751072
slfl_irregularity_of_end_region_1,slfl_area_of_end_region_1,-0.7635717751857882
slfl_area_of_end_region_1,slfl_irregularity_of_end_region_1,-0.7635717751857882
fatl_curl,cfpl_number_of_tracts,-0.7626758650301262
cfpl_number_of_tracts,fatl_curl,-0.7626758650301262
fatr_irregularity_of_end_region_2,ufsr_number_of_tracts,-0.7622543686809089
ufsr_number_of_tracts,fatr_irregularity_of_end_region_2,-0.7622543686809089
cfpl_mean_length,fatl_curl,-0.7615769511972323
fatl_curl,cfpl_mean_length,-0.7615769511972323
cfpr_irregularity_of_end_region_1,cfpr_total_surface_area,-0.7611452595102358
cfpr_total_surface_area,cfpr_irregularity_of_end_region_1,-0.7611452595102358
slfr_curl,slfr_dti_fa,-0.7610102903431328
slfr_dti_fa,slfr_curl,-0.7610102903431328
ufsl_rdi,cfpl_elongation,-0.7606588087726324
cfpl_elongation,ufsl_rdi,-0.7606588087726324
ufsl_nrdi02L,cfpl_elongation,-0.7600504791119668
cfpl_elongation,ufsl_nrdi02L,-0.7600504791119668
cfpl_elongation,ufsl_nrdi04L,-0.7592827111365258
ufsl_nrdi04L,cfpl_elongation,-0.7592827111365258
fatl_curl,cfpr_total_surface_area,-0.7578264706586194
cfpr_total_surface_area,fatl_curl,-0.7578264706586194
cfpr_irregularity_of_end_region_2,cfpr_total_area_of_end_regions,-0.7578214747046406
cfpr_total_area_of_end_regions,cfpr_irregularity_of_end_region_2,-0.7578214747046406
afsr_rdi,cfpl_elongation,-0.7576037695903127
cfpl_elongation,afsr_rdi,-0.7576037695903127
cfpr_irregularity_of_end_region_1,cfpl_total_area_of_end_regions,-0.7575294581979835
cfpl_total_area_of_end_regions,cfpr_irregularity_of_end_region_1,-0.7575294581979835
cfpr_irregularity_of_end_region_1,cfpl_total_surface_area,-0.7575213372830655
cfpl_total_surface_area,cfpr_irregularity_of_end_region_1,-0.7575213372830655
cfpl_total_surface_area,cfpr_irregularity_of_end_region_2,-0.756969346499184
cfpr_irregularity_of_end_region_2,cfpl_total_surface_area,-0.756969346499184
cfpl_elongation,afsr_nrdi02L,-0.7567831030136865
afsr_nrdi02L,cfpl_elongation,-0.7567831030136865
cfpr_volume,cfpr_irregularity_of_end_region_1,-0.7561808923466492
cfpr_irregularity_of_end_region_1,cfpr_volume,-0.7561808923466492
cfpl_elongation,afsr_nrdi04L,-0.7557729726241269
afsr_nrdi04L,cfpl_elongation,-0.7557729726241269
cfpl_irregularity,fatr_irregularity_of_end_region_1,-0.7555086997903894
fatr_irregularity_of_end_region_1,cfpl_irregularity,-0.7555086997903894
cfpl_elongation,ufsl_nrdi06L,-0.7546018409868157
ufsl_nrdi06L,cfpl_elongation,-0.7546018409868157
cfpl_radius_of_end_region_2,fatr_curl,-0.7543330584806572
fatr_curl,cfpl_radius_of_end_region_2,-0.7543330584806572
ufsr_qa,cfpl_elongation,-0.752635672889662
cfpl_elongation,ufsr_qa,-0.752635672889662
cfpl_qa,cfpl_elongation,-0.7518316940054232
cfpl_elongation,cfpl_qa,-0.7518316940054232
afsr_nrdi06L,cfpl_elongation,-0.7500384271308801
cfpl_elongation,afsr_nrdi06L,-0.7500384271308801
cfpl_total_area_of_end_regions,cfpr_irregularity_of_end_region_2,-0.7487594650456488
cfpr_irregularity_of_end_region_2,cfpl_total_area_of_end_regions,-0.7487594650456488
cfpr_diameter,fatl_elongation,-0.747093383133177
fatl_elongation,cfpr_diameter,-0.747093383133177
cfpl_total_area_of_end_regions,fatl_elongation,-0.7453550715340158
fatl_elongation,cfpl_total_area_of_end_regions,-0.7453550715340158
cfpr_volume,cfpr_irregularity_of_end_region_2,-0.7453530262626018
cfpr_irregularity_of_end_region_2,cfpr_volume,-0.7453530262626018
ufsl_iso,cfpl_elongation,-0.7449096638025636
cfpl_elongation,ufsl_iso,-0.7449096638025636
