,,0
fatr_curl,fatr_span,-0.9255637001293799
fatr_span,fatr_curl,-0.9255637001293799
fatr_diameter,fatr_elongation,-0.9086984029676118
fatr_elongation,fatr_diameter,-0.9086984029676118
cfpr_irregularity_of_end_region_1,cfpr_diameter,-0.8778253597519333
cfpr_diameter,cfpr_irregularity_of_end_region_1,-0.8778253597519333
cfpr_diameter,cfpr_irregularity_of_end_region_2,-0.8713911150493241
cfpr_irregularity_of_end_region_2,cfpr_diameter,-0.8713911150493241
fatr_volume,fatr_elongation,-0.7862346232885788
fatr_elongation,fatr_volume,-0.7862346232885788
ufsr_curl,ufsr_span,-0.7846525319359527
ufsr_span,ufsr_curl,-0.7846525319359527
fatr_irregularity_of_end_region_1,cfpr_diameter,-0.7835800655142504
cfpr_diameter,fatr_irregularity_of_end_region_1,-0.7835800655142504
cfpr_number_of_tracts,cfpr_irregularity_of_end_region_2,-0.7719566888753657
cfpr_irregularity_of_end_region_2,cfpr_number_of_tracts,-0.7719566888753657
cfpr_irregularity_of_end_region_1,cfpr_number_of_tracts,-0.769257632296657
cfpr_number_of_tracts,cfpr_irregularity_of_end_region_1,-0.769257632296657
cfpr_elongation,cfpr_diameter,-0.7684965810603985
cfpr_diameter,cfpr_elongation,-0.7684965810603985
cfpr_total_area_of_end_regions,cfpr_irregularity_of_end_region_1,-0.7650656318751075
cfpr_irregularity_of_end_region_1,cfpr_total_area_of_end_regions,-0.7650656318751075
ufsr_number_of_tracts,fatr_irregularity_of_end_region_2,-0.7622543686809089
fatr_irregularity_of_end_region_2,ufsr_number_of_tracts,-0.7622543686809089
cfpr_irregularity_of_end_region_1,cfpr_total_surface_area,-0.7611452595102356
cfpr_total_surface_area,cfpr_irregularity_of_end_region_1,-0.7611452595102356
cfpr_total_area_of_end_regions,cfpr_irregularity_of_end_region_2,-0.7578214747046406
cfpr_irregularity_of_end_region_2,cfpr_total_area_of_end_regions,-0.7578214747046406
cfpr_volume,cfpr_irregularity_of_end_region_1,-0.7561808923466492
cfpr_irregularity_of_end_region_1,cfpr_volume,-0.7561808923466492
cfpr_volume,cfpr_irregularity_of_end_region_2,-0.7453530262626017
cfpr_irregularity_of_end_region_2,cfpr_volume,-0.7453530262626017
cfpr_irregularity_of_end_region_2,cfpr_total_surface_area,-0.7438682658825115
cfpr_total_surface_area,cfpr_irregularity_of_end_region_2,-0.7438682658825115
fatr_total_surface_area,fatr_elongation,-0.7414216328063752
fatr_elongation,fatr_total_surface_area,-0.7414216328063752
ufsr_elongation,ufsr_irregularity,-0.7342781284311094
ufsr_irregularity,ufsr_elongation,-0.7342781284311094
cfpr_irregularity_of_end_region_2,cfpr_area_of_end_region_2,-0.731544866566044
cfpr_area_of_end_region_2,cfpr_irregularity_of_end_region_2,-0.731544866566044
fatr_total_radius_of_end_regions,ufsr_total_area_of_end_regions,-0.7307295404964106
ufsr_total_area_of_end_regions,fatr_total_radius_of_end_regions,-0.7307295404964106
fatr_curl,cfpr_volume,-0.7297200655578617
cfpr_volume,fatr_curl,-0.7297200655578617
cfpr_number_of_tracts,fatr_curl,-0.7289229780331562
fatr_curl,cfpr_number_of_tracts,-0.7289229780331562
ufsl_span,ufsl_curl,-0.7236880599665241
ufsl_curl,ufsl_span,-0.7236880599665241
cfpr_irregularity_of_end_region_1,cfpr_area_of_end_region_2,-0.7189112707917613
cfpr_area_of_end_region_2,cfpr_irregularity_of_end_region_1,-0.7189112707917613
ufsr_total_area_of_end_regions,fatr_irregularity_of_end_region_2,-0.7176492835813628
fatr_irregularity_of_end_region_2,ufsr_total_area_of_end_regions,-0.7176492835813628
fatr_curl,cfpr_total_surface_area,-0.7171023059290831
cfpr_total_surface_area,fatr_curl,-0.7171023059290831
cfpr_diameter,fatr_irregularity_of_end_region_2,-0.7139877131262361
fatr_irregularity_of_end_region_2,cfpr_diameter,-0.7139877131262361
ufsl_total_area_of_end_regions,fatr_irregularity_of_end_region_2,-0.7095025508161763
fatr_irregularity_of_end_region_2,ufsl_total_area_of_end_regions,-0.7095025508161763
cfpr_diameter,fatr_curl,-0.7025374627233331
fatr_curl,cfpr_diameter,-0.7025374627233331
cfpr_radius_of_end_region_2,fatr_radius_of_end_region_2,-0.7014016848204924
fatr_radius_of_end_region_2,cfpr_radius_of_end_region_2,-0.7014016848204924
cfpr_area_of_end_region_2,cfpr_span,0.7019967031064911
cfpr_span,cfpr_area_of_end_region_2,0.7019967031064911
ufsr_total_surface_area,ufsr_total_area_of_end_regions,0.7021959891277211
ufsr_total_area_of_end_regions,ufsr_total_surface_area,0.7021959891277211
ufsr_area_of_end_region_1,ufsr_volume,0.7033666524154701
ufsr_volume,ufsr_area_of_end_region_1,0.7033666524154701
cfpr_area_of_end_region_1,cfpr_span,0.7037488722003745
cfpr_span,cfpr_area_of_end_region_1,0.7037488722003745
cfpr_radius_of_end_region_2,cfpr_mean_length,0.7039236420387096
cfpr_mean_length,cfpr_radius_of_end_region_2,0.7039236420387096
cfpr_area_of_end_region_1,cfpr_mean_length,0.703956978727832
cfpr_mean_length,cfpr_area_of_end_region_1,0.703956978727832
ufsr_area_of_end_region_2,ufsl_area_of_end_region_2,0.7044219051502575
ufsl_area_of_end_region_2,ufsr_area_of_end_region_2,0.7044219051502575
ufsr_total_radius_of_end_regions,ufsr_diameter,0.7048633305574452
ufsr_diameter,ufsr_total_radius_of_end_regions,0.7048633305574452
ufsl_total_surface_area,ufsl_radius_of_end_region_1,0.7057059773056834
ufsl_radius_of_end_region_1,ufsl_total_surface_area,0.7057059773056834
fatr_irregularity_of_end_region_2,cfpr_irregularity_of_end_region_2,0.7093171727138073
cfpr_irregularity_of_end_region_2,fatr_irregularity_of_end_region_2,0.7093171727138073
fatr_curl,cfpr_irregularity_of_end_region_2,0.7097713605285569
cfpr_irregularity_of_end_region_2,fatr_curl,0.7097713605285569
ufsl_total_surface_area,ufsl_total_area_of_end_regions,0.711107913041744
ufsl_total_area_of_end_regions,ufsl_total_surface_area,0.711107913041744
ufsl_radius_of_end_region_2,ufsl_irregularity_of_end_region_2,0.7129957087019091
ufsl_irregularity_of_end_region_2,ufsl_radius_of_end_region_2,0.7129957087019091
cfpr_irregularity_of_end_region_1,fatr_curl,0.714877991514042
fatr_curl,cfpr_irregularity_of_end_region_1,0.714877991514042
cfpr_area_of_end_region_2,cfpr_mean_length,0.7195671971902319
cfpr_mean_length,cfpr_area_of_end_region_2,0.7195671971902319
ufsr_diameter,ufsr_total_surface_area,0.7201837642821608
ufsr_total_surface_area,ufsr_diameter,0.7201837642821608
ufsr_diameter,ufsr_volume,0.7247979761192306
ufsr_volume,ufsr_diameter,0.7247979761192306
ufsl_volume,ufsl_area_of_end_region_1,0.7262641162343466
ufsl_area_of_end_region_1,ufsl_volume,0.7262641162343466
cfpr_total_surface_area,cfpr_area_of_end_region_2,0.7346860624847665
cfpr_area_of_end_region_2,cfpr_total_surface_area,0.7346860624847665
cfpr_irregularity_of_end_region_1,fatr_irregularity_of_end_region_2,0.7375033781321123
fatr_irregularity_of_end_region_2,cfpr_irregularity_of_end_region_1,0.7375033781321123
ufsl_diameter,ufsl_volume,0.739606315242009
ufsl_volume,ufsl_diameter,0.739606315242009
fatr_number_of_tracts,fatr_area_of_end_region_2,0.743142462967909
fatr_area_of_end_region_2,fatr_number_of_tracts,0.743142462967909
ufsl_total_radius_of_end_regions,ufsl_branch_volume,0.7458134621970185
ufsl_branch_volume,ufsl_total_radius_of_end_regions,0.7458134621970185
ufsr_volume,ufsr_total_radius_of_end_regions,0.7494127953748357
ufsr_total_radius_of_end_regions,ufsr_volume,0.7494127953748357
ufsr_radius_of_end_region_1,ufsr_total_surface_area,0.751508742926822
ufsr_total_surface_area,ufsr_radius_of_end_region_1,0.751508742926822
ufsr_irregularity,ufsr_diameter,0.7540804369242188
ufsr_diameter,ufsr_irregularity,0.7540804369242188
ufsl_total_radius_of_end_regions,ufsl_radius_of_end_region_1,0.7570846667587064
ufsl_radius_of_end_region_1,ufsl_total_radius_of_end_regions,0.7570846667587064
fatr_radius_of_end_region_1,fatr_irregularity_of_end_region_1,0.7611242081202155
fatr_irregularity_of_end_region_1,fatr_radius_of_end_region_1,0.7611242081202155
fatr_irregularity_of_end_region_1,fatr_irregularity_of_end_region_2,0.7618789742601516
fatr_irregularity_of_end_region_2,fatr_irregularity_of_end_region_1,0.7618789742601516
fatr_irregularity_of_end_region_2,fatr_total_radius_of_end_regions,0.7619837043834163
fatr_total_radius_of_end_regions,fatr_irregularity_of_end_region_2,0.7619837043834163
cfpr_span,cfpr_total_area_of_end_regions,0.7629467241816198
cfpr_total_area_of_end_regions,cfpr_span,0.7629467241816198
cfpr_irregularity_of_end_region_2,fatr_irregularity_of_end_region_1,0.763138849057486
fatr_irregularity_of_end_region_1,cfpr_irregularity_of_end_region_2,0.763138849057486
cfpr_volume,cfpr_span,0.7633881463470396
cfpr_span,cfpr_volume,0.7633881463470396
cfpr_irregularity_of_end_region_1,fatr_irregularity_of_end_region_1,0.7647721674354337
fatr_irregularity_of_end_region_1,cfpr_irregularity_of_end_region_1,0.7647721674354337
ufsr_volume,ufsr_total_area_of_end_regions,0.7701379395400403
ufsr_total_area_of_end_regions,ufsr_volume,0.7701379395400403
ufsr_number_of_tracts,ufsr_volume,0.7702374704224229
ufsr_volume,ufsr_number_of_tracts,0.7702374704224229
cfpr_number_of_tracts,cfpr_span,0.7717136933048885
cfpr_span,cfpr_number_of_tracts,0.7717136933048885
fatr_irregularity_of_end_region_2,fatr_radius_of_end_region_2,0.7724168495555411
fatr_radius_of_end_region_2,fatr_irregularity_of_end_region_2,0.7724168495555411
cfpr_total_area_of_end_regions,cfpr_mean_length,0.773198874386862
cfpr_mean_length,cfpr_total_area_of_end_regions,0.773198874386862
fatr_area_of_end_region_1,fatr_area_of_end_region_2,0.7732314182486681
fatr_area_of_end_region_2,fatr_area_of_end_region_1,0.7732314182486681
cfpr_area_of_end_region_2,cfpr_diameter,0.7744869948141619
cfpr_diameter,cfpr_area_of_end_region_2,0.7744869948141619
cfpr_volume,cfpr_mean_length,0.777626219770248
cfpr_mean_length,cfpr_volume,0.777626219770248
ufsl_volume,ufsl_number_of_tracts,0.7777190225679564
ufsl_number_of_tracts,ufsl_volume,0.7777190225679564
cfpr_span,cfpr_total_surface_area,0.7786374128359667
cfpr_total_surface_area,cfpr_span,0.7786374128359667
cfpr_total_radius_of_end_regions,cfpr_radius_of_end_region_1,0.779021721982022
cfpr_radius_of_end_region_1,cfpr_total_radius_of_end_regions,0.779021721982022
ufsl_total_area_of_end_regions,ufsl_area_of_end_region_2,0.7824119383072284
ufsl_area_of_end_region_2,ufsl_total_area_of_end_regions,0.7824119383072284
ufsr_radius_of_end_region_2,ufsr_irregularity_of_end_region_2,0.7829382499405322
