0,N
number of tracts	12484,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	0
mean length(mm)	109.879,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	1
span(mm)	34.892,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	2
curl	3.14911,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	3
elongation	6.80527,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	4
diameter(mm)	16.1461,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	5
volume(mm^3)	22497.9,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	21425.6,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	1072.31,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	35724,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	17.7757,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	2741.97,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	11
irregularity	6.40954,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	1526.69,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	10.6867,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.23501,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	1215.28,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	7.089,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.12991,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	18
qa	0.106988,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	19
dti_fa	0.466537,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	20
md	0.81132,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	21
ad	1.22773,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	22
rd	0.603115,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	23
iso	0.271445,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	24
rdi	0.161682,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	25
nrdi02L	0.207272,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	26
nrdi04L	0.0813666,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	27
nrdi06L	0.0125145,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	28
,sub-50004_dwi.Arcuate_Fasciculus_L.stat.txt	29
number of tracts	2566,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	0
mean length(mm)	87.6438,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	1
span(mm)	19.7949,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	2
curl	4.4276,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	3
elongation	7.24803,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	4
diameter(mm)	12.0921,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	5
volume(mm^3)	10065,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	2879.07,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	7185.92,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	22862.2,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	18.8704,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	1210.38,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	11
irregularity	6.86665,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	911.705,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	11.3828,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.446471,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	298.679,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	7.48759,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.589698,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	18
qa	0.193227,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	19
dti_fa	0.438853,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	20
md	0.750653,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	21
ad	1.09484,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	22
rd	0.578559,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	23
iso	0.597993,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	24
rdi	0.349357,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	25
nrdi02L	0.447545,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	26
nrdi04L	0.175534,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	27
nrdi06L	0.026868,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	28
,sub-50005_dwi.Arcuate_Fasciculus_L.stat.txt	29
number of tracts	10845,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	0
mean length(mm)	128.6,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	1
span(mm)	30.905,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	2
curl	4.16114,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	3
elongation	9.95351,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	4
diameter(mm)	12.9201,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	5
volume(mm^3)	16860.2,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	14657.8,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	2202.39,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	32142.7,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	18.4869,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	2595.08,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	11
irregularity	6.15781,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	1891.96,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	12.1284,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.244255,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	703.12,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	6.35849,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.180646,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	18
qa	0.297538,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	19
dti_fa	0.475757,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	20
md	0.777817,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	21
ad	1.20567,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	22
rd	0.563891,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	23
iso	0.75334,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	24
rdi	0.446971,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	25
nrdi02L	0.572519,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	26
nrdi04L	0.224514,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	27
nrdi06L	0.0343348,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	28
,sub-50006_dwi.Arcuate_Fasciculus_L.stat.txt	29
number of tracts	1069,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	0
mean length(mm)	94.9914,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	1
span(mm)	28.0402,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	2
curl	3.38769,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	3
elongation	14.1241,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	4
diameter(mm)	6.72547,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	5
volume(mm^3)	3374.58,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	2814.44,sub-50007_dwi.Arcuate_Fasciculus_L.stat.txt	7
