0,N
number of tracts	901,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	0
mean length(mm)	101.651,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	1
span(mm)	23.971,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	2
curl	4.24058,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	3
elongation	12.3569,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	4
diameter(mm)	8.22627,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	5
volume(mm^3)	5402.66,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	5144.13,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	258.528,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	14112.3,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	9.68946,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	327.078,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	11
irregularity	5.37198,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	130.244,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	4.65448,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	14
irregularity of end region 1	0.522559,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	196.834,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	5.03498,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.404618,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	18
qa	0.0849187,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	19
dti_fa	0.386133,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	20
md	0.864315,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	21
ad	1.19776,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	22
rd	0.697593,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	23
iso	0.271885,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	24
rdi	0.15736,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	25
nrdi02L	0.201958,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	26
nrdi04L	0.0793903,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	27
nrdi06L	0.0123067,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	28
,sub-50004_dwi.Arcuate_Fasciculus_R.stat.txt	29
number of tracts	714,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	0
mean length(mm)	60.3154,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	1
span(mm)	21.7681,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	2
curl	2.77082,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	3
elongation	6.75301,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	4
diameter(mm)	8.93163,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	5
volume(mm^3)	3779.02,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	1236.82,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	2542.2,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	9894.6,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	14.9737,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	331.974,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	11
irregularity	5.84641,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	190.959,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	9.51637,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	14
irregularity of end region 1	1.48989,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	141.016,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	5.45735,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.663509,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	18
qa	0.180425,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	19
dti_fa	0.353855,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	20
md	0.738716,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	21
ad	1.01508,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	22
rd	0.600536,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	23
iso	0.699567,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	24
rdi	0.397357,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	25
nrdi02L	0.508759,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	26
nrdi04L	0.19941,sub-50005_dwi.Arcuate_Fasciculus_R.stat.txt	27
