0,N
number of tracts	3862,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	0
mean length(mm)	87.9619,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	1
span(mm)	38.9088,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	2
curl	2.26072,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	3
elongation	8.76255,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	4
diameter(mm)	10.0384,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	5
volume(mm^3)	6961.67,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	6
trunk volume(mm^3)	4116.87,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	7
branch volume(mm^3)	2844.79,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	8
total surface area(mm^2)	16682.9,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	9
total radius of end regions(mm)	21.9383,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	10
total area of end regions(mm^2)	1731.36,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	11
irregularity	6.014,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	12
area of end region 1(mm^2)	725.643,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	13
radius of end region 1(mm)	10.7711,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	14
irregularity of end region 1	0.502285,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	15
area of end region 2(mm^2)	1005.72,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	16
radius of end region 2(mm)	11.1672,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	17
irregularity of end region 2	0.389547,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	18
qa	0.105641,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	19
dti_fa	0.518875,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	20
md	0.789024,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	21
ad	1.28265,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	22
rd	0.542212,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	23
iso	0.196586,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	24
rdi	0.140464,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	25
nrdi02L	0.179827,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	26
nrdi04L	0.0704763,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	27
nrdi06L	0.0107413,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	28
,sub-50004_dwi.Cingulum_Frontal_Parietal_R.stat.txt	29
number of tracts	114,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	0
mean length(mm)	46.6362,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	1
span(mm)	21.4522,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	2
curl	2.17396,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	3
elongation	10.2719,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	4
diameter(mm)	4.54018,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	5
volume(mm^3)	755.021,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	6
trunk volume(mm^3)	0,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	7
branch volume(mm^3)	755.021,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	8
total surface area(mm^2)	2923.14,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	9
total radius of end regions(mm)	18.7444,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	10
total area of end regions(mm^2)	97.9275,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	11
irregularity	4.39444,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	12
area of end region 1(mm^2)	60.7151,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	13
radius of end region 1(mm)	10.8357,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	14
irregularity of end region 1	6.07532,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	15
area of end region 2(mm^2)	37.2125,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	16
radius of end region 2(mm)	7.90872,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	17
irregularity of end region 2	5.28049,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	18
qa	0.210368,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	19
dti_fa	0.410103,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	20
md	0.775581,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	21
ad	1.13037,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	22
rd	0.598188,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	23
iso	0.559375,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	24
rdi	0.376306,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	25
nrdi02L	0.481937,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	26
nrdi04L	0.18896,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	27
nrdi06L	0.0288704,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	28
,sub-50005_dwi.Cingulum_Frontal_Parietal_R.stat.txt	29
number of tracts	6282,sub-50006_dwi.Cingulum_Frontal_Parietal_R.stat.txt	0
mean length(mm)	88.3383,sub-50006_dwi.Cingulum_Frontal_Parietal_R.stat.txt	1
span(mm)	38.3991,sub-50006_dwi.Cingulum_Frontal_Parietal_R.stat.txt	2
curl	2.30053,sub-50006_dwi.Cingulum_Frontal_Parietal_R.stat.txt	3
elongation	6.5057,sub-50006_dwi.Cingulum_Frontal_Parietal_R.stat.txt	4
diameter(mm)	13.5786,sub-50006_dwi.Cingulum_Frontal_Parietal_R.stat.txt	5
volume(mm^3)	12792.3,sub-50006_dwi.Cingulum_Frontal_Parietal_R.stat.txt	6
trunk volume(mm^3)	11561.3,sub-50006_dwi.Cingulum_Frontal_Parietal_R.stat.txt	7
branch volume(mm^3)	1230.95,sub-50006_dwi.Cingulum_Frontal_Parietal_R.stat.txt	8
