0,N
number of tracts	7191,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	0
mean length(mm)	84.6715,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	1
span(mm)	29.6376,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	2
curl	2.85689,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	3
elongation	5.35227,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	4
diameter(mm)	15.8197,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	5
volume(mm^3)	16642.8,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	6
trunk volume(mm^3)	15281.6,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	7
branch volume(mm^3)	1361.19,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	8
total surface area(mm^2)	28001.4,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	9
total radius of end regions(mm)	15.339,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	10
total area of end regions(mm^2)	2595.08,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	11
irregularity	6.65416,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	12
area of end region 1(mm^2)	1414.07,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	13
radius of end region 1(mm)	7.43443,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	14
irregularity of end region 1	0.122793,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	15
area of end region 2(mm^2)	1181.01,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	16
radius of end region 2(mm)	7.90455,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	17
irregularity of end region 2	0.166208,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	18
qa	0.0948509,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	19
dti_fa	0.442894,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	20
md	0.816022,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	21
ad	1.21144,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	22
rd	0.618313,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	23
iso	0.262141,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	24
rdi	0.153714,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	25
nrdi02L	0.197072,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	26
nrdi04L	0.0773696,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	27
nrdi06L	0.0119058,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	28
,sub-50004_dwi.Frontal_Aslant_Tract_L.stat.txt	29
number of tracts	4276,sub-50005_dwi.Frontal_Aslant_Tract_L.stat.txt	0
