0,N
number of tracts	8735,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	0
mean length(mm)	83.2683,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	1
span(mm)	29.882,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	2
curl	2.78657,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	3
elongation	4.54926,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	4
diameter(mm)	18.3037,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	5
volume(mm^3)	21910.3,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	6
trunk volume(mm^3)	20980,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	7
branch volume(mm^3)	930.311,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	8
total surface area(mm^2)	36500.5,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	9
total radius of end regions(mm)	19.8175,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	10
total area of end regions(mm^2)	3548.89,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	11
irregularity	7.62307,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	12
area of end region 1(mm^2)	1837.12,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	13
radius of end region 1(mm)	11.3466,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	14
irregularity of end region 1	0.220163,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	15
area of end region 2(mm^2)	1711.77,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	16
radius of end region 2(mm)	8.47087,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	17
irregularity of end region 2	0.131692,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	18
qa	0.0843324,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	19
dti_fa	0.414165,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	20
md	0.820089,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	21
ad	1.16776,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	22
rd	0.646256,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	23
iso	0.254176,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	24
rdi	0.148332,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	25
nrdi02L	0.190231,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	26
nrdi04L	0.0747116,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	27
nrdi06L	0.0115202,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	28
,sub-50004_dwi.Frontal_Aslant_Tract_R.stat.txt	29
number of tracts	6459,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	0
mean length(mm)	68.3769,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	1
span(mm)	19.515,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	2
curl	3.50381,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	3
elongation	3.68623,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	4
diameter(mm)	18.5493,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	5
volume(mm^3)	18477.9,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	6
trunk volume(mm^3)	9609.63,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	7
branch volume(mm^3)	8868.31,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	8
total surface area(mm^2)	33267,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	9
total radius of end regions(mm)	27.7284,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	10
total area of end regions(mm^2)	1771.51,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	11
irregularity	8.34885,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	12
area of end region 1(mm^2)	973.399,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	13
radius of end region 1(mm)	16.4181,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	14
irregularity of end region 1	0.869974,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	15
area of end region 2(mm^2)	798.109,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	16
radius of end region 2(mm)	11.3102,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	17
irregularity of end region 2	0.503537,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	18
qa	0.161665,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	19
dti_fa	0.321487,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	20
md	0.803063,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	21
ad	1.05169,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	22
rd	0.678749,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	23
iso	0.689653,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	24
rdi	0.38767,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	25
nrdi02L	0.497283,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	26
nrdi04L	0.195357,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	27
nrdi06L	0.0301674,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	28
,sub-50005_dwi.Frontal_Aslant_Tract_R.stat.txt	29
number of tracts	7908,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	0
mean length(mm)	79.8827,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	1
span(mm)	31.1895,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	2
curl	2.56121,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	3
elongation	4.64615,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	4
diameter(mm)	17.1933,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	5
volume(mm^3)	18546.5,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	6
trunk volume(mm^3)	17351.8,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	7
branch volume(mm^3)	1194.72,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	8
total surface area(mm^2)	32016.4,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	9
total radius of end regions(mm)	20.5399,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	10
total area of end regions(mm^2)	2863.4,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	11
irregularity	7.42011,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	12
area of end region 1(mm^2)	1353.36,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	13
radius of end region 1(mm)	11.7158,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	14
irregularity of end region 1	0.318626,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	15
area of end region 2(mm^2)	1510.04,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	16
radius of end region 2(mm)	8.82405,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	17
irregularity of end region 2	0.161993,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	18
qa	0.234519,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	19
dti_fa	0.405567,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	20
md	0.797788,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	21
ad	1.14477,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	22
rd	0.624298,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	23
iso	0.622188,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	24
rdi	0.419171,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	25
nrdi02L	0.537321,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	26
nrdi04L	0.210908,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	27
nrdi06L	0.0324199,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	28
,sub-50006_dwi.Frontal_Aslant_Tract_R.stat.txt	29
number of tracts	5673,sub-50007_dwi.Frontal_Aslant_Tract_R.stat.txt	0
mean length(mm)	75.6749,sub-50007_dwi.Frontal_Aslant_Tract_R.stat.txt	1
span(mm)	28.4403,sub-50007_dwi.Frontal_Aslant_Tract_R.stat.txt	2
curl	2.66084,sub-50007_dwi.Frontal_Aslant_Tract_R.stat.txt	3
elongation	4.65455,sub-50007_dwi.Frontal_Aslant_Tract_R.stat.txt	4
diameter(mm)	16.2583,sub-50007_dwi.Frontal_Aslant_Tract_R.stat.txt	5
volume(mm^3)	15710.5,sub-50007_dwi.Frontal_Aslant_Tract_R.stat.txt	6
