0,N
,sub-50004_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
number of tracts	415,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	52.6316,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	21.3804,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	2.46167,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	6.89577,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	7.63244,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	2408.04,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	416.192,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	1991.85,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	5681.75,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	9.05422,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	243.84,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	4.50218,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	109.679,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	5.06009,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.733405,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	134.161,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	3.99413,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.373567,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.200229,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
dti_fa	0.441931,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	20
md	0.764531,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	21
ad	1.14357,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	22
rd	0.575013,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	23
iso	0.595669,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	24
rdi	0.34687,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	25
nrdi02L	0.444281,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	26
nrdi04L	0.174216,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	27
nrdi06L	0.0266349,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	28
,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	29
number of tracts	3384,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	0
mean length(mm)	121.609,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	1
span(mm)	35.9573,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	2
curl	3.38204,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	3
elongation	10.7874,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	4
diameter(mm)	11.2732,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	5
volume(mm^3)	12138.1,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	6
trunk volume(mm^3)	7558.05,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	7
branch volume(mm^3)	4580.07,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	8
total surface area(mm^2)	25633.5,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	9
total radius of end regions(mm)	16.7239,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	10
total area of end regions(mm^2)	1228.99,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	11
irregularity	5.95175,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	12
area of end region 1(mm^2)	763.835,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	13
radius of end region 1(mm)	8.68112,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	14
irregularity of end region 1	0.309957,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	15
area of end region 2(mm^2)	465.156,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	16
radius of end region 2(mm)	8.04283,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	17
irregularity of end region 2	0.436887,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	18
qa	0.263167,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_L.stat.txt	19
