0,N
,sub-50004_dwi.Superior_Longitudinal_Fasciculus1_R.no_result.txt	0
number of tracts	86,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	49.8803,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	16.0607,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.10574,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	11.4667,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	4.35002,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	741.311,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	602.254,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	139.057,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	2542.2,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	8.4449,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	54.8394,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	3.72941,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	33.2954,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	7.13304,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	4.80082,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
area of end region 2(mm^2)	21.5441,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	16
radius of end region 2(mm)	1.31186,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	17
irregularity of end region 2	0.250957,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	18
qa	0.181008,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	19
dti_fa	0.36903,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	20
md	0.759439,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	21
ad	1.04342,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	22
rd	0.61745,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	23
iso	0.669394,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	24
rdi	0.383061,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	25
nrdi02L	0.490807,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	26
nrdi04L	0.192543,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	27
nrdi06L	0.029506,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	28
,sub-50005_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	29
,sub-50006_dwi.Superior_Longitudinal_Fasciculus1_R.no_result.txt	0
number of tracts	149,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	0
mean length(mm)	142.219,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	1
span(mm)	46.4093,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	2
curl	3.06446,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	3
elongation	40.2226,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	4
diameter(mm)	3.5358,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	5
volume(mm^3)	1396.45,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	6
trunk volume(mm^3)	1238.78,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	7
branch volume(mm^3)	157.663,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	8
total surface area(mm^2)	5269.48,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	9
total radius of end regions(mm)	3.05074,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	10
total area of end regions(mm^2)	59.7358,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	11
irregularity	3.33558,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	12
area of end region 1(mm^2)	43.0881,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	13
radius of end region 1(mm)	2.02388,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	14
irregularity of end region 1	0.298649,sub-50007_dwi.Superior_Longitudinal_Fasciculus1_R.stat.txt	15
