0,N
number of tracts	4079,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	0
mean length(mm)	60.4681,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	1
span(mm)	8.0787,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	2
curl	7.48488,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	3
elongation	4.00918,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	4
diameter(mm)	15.0824,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	5
volume(mm^3)	10803.4,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	7184.94,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	3618.42,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	18836.4,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	20.6651,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	2155.38,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	11
irregularity	6.5743,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	1329.86,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	7.60369,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.136582,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	825.529,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	13.0614,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.649233,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	18
qa	0.081915,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	19
dti_fa	0.358363,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	20
md	1.06736,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	21
ad	1.42258,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	22
rd	0.889742,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	23
iso	0.277108,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	24
rdi	0.158045,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	25
nrdi02L	0.203741,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	26
nrdi04L	0.0805251,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	27
nrdi06L	0.0128524,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	28
,sub-50004_dwi.Uncinate_Fasciculus_L.stat.txt	29
number of tracts	1920,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	0
mean length(mm)	35.2945,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	1
span(mm)	11.0683,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	2
curl	3.18878,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	3
elongation	2.84061,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	4
diameter(mm)	12.425,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	5
volume(mm^3)	4279.43,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	6
trunk volume(mm^3)	3362.83,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	7
branch volume(mm^3)	916.601,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	8
total surface area(mm^2)	8350.28,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	9
total radius of end regions(mm)	11.4689,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	10
total area of end regions(mm^2)	925.415,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	11
irregularity	6.06107,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	12
area of end region 1(mm^2)	440.674,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	13
radius of end region 1(mm)	5.00618,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	14
irregularity of end region 1	0.178667,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	15
area of end region 2(mm^2)	484.741,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	16
radius of end region 2(mm)	6.46268,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	17
irregularity of end region 2	0.270685,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	18
qa	0.133283,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	19
dti_fa	0.246841,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	20
md	0.932989,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	21
ad	1.13423,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	22
rd	0.832369,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	23
iso	0.733846,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	24
rdi	0.403392,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	25
nrdi02L	0.518387,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	26
nrdi04L	0.204096,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	27
nrdi06L	0.031895,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	28
,sub-50005_dwi.Uncinate_Fasciculus_L.stat.txt	29
number of tracts	2776,sub-50006_dwi.Uncinate_Fasciculus_L.stat.txt	0
mean length(mm)	82.321,sub-50006_dwi.Uncinate_Fasciculus_L.stat.txt	1
span(mm)	19.3889,sub-50006_dwi.Uncinate_Fasciculus_L.stat.txt	2
curl	4.24578,sub-50006_dwi.Uncinate_Fasciculus_L.stat.txt	3
elongation	7.87864,sub-50006_dwi.Uncinate_Fasciculus_L.stat.txt	4
diameter(mm)	10.4486,sub-50006_dwi.Uncinate_Fasciculus_L.stat.txt	5
volume(mm^3)	7058.61,sub-50006_dwi.Uncinate_Fasciculus_L.stat.txt	6
