0,N
number of tracts	4307,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	0
mean length(mm)	53.6665,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	1
span(mm)	11.7411,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	2
curl	4.57081,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	3
elongation	3.10983,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	4
diameter(mm)	17.257,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	5
volume(mm^3)	12552.3,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	5266.54,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	7285.81,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	20236.7,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	20.4352,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	2261.15,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	11
irregularity	6.95538,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	1320.06,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	7.99756,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	14
irregularity of end region 1	0.15222,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	941.083,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	12.4376,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.516414,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	18
qa	0.0747704,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	19
dti_fa	0.351462,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	20
md	0.942241,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	21
ad	1.26609,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	22
rd	0.780318,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	23
iso	0.266993,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	24
rdi	0.15212,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	25
nrdi02L	0.195493,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	26
nrdi04L	0.0769726,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	27
nrdi06L	0.0120351,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	28
,sub-50004_dwi.Uncinate_Fasciculus_R.stat.txt	29
number of tracts	2144,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	0
mean length(mm)	43.774,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	1
span(mm)	11.7446,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	2
curl	3.72715,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	3
elongation	2.79928,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	4
diameter(mm)	15.6376,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	5
volume(mm^3)	8407.08,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	6
trunk volume(mm^3)	5350.76,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	7
branch volume(mm^3)	3056.32,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	8
total surface area(mm^2)	15449,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	9
total radius of end regions(mm)	16.0185,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	10
total area of end regions(mm^2)	1217.24,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	11
irregularity	7.18399,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	12
area of end region 1(mm^2)	518.037,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	13
radius of end region 1(mm)	6.66949,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	14
irregularity of end region 1	0.269758,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	15
area of end region 2(mm^2)	699.202,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	16
radius of end region 2(mm)	9.34899,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	17
irregularity of end region 2	0.392714,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	18
qa	0.167913,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	19
dti_fa	0.264261,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	20
md	0.946541,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	21
ad	1.18617,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	22
rd	0.826729,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	23
iso	0.845643,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	24
rdi	0.466856,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	25
nrdi02L	0.599826,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	26
nrdi04L	0.236103,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	27
nrdi06L	0.0368497,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	28
,sub-50005_dwi.Uncinate_Fasciculus_R.stat.txt	29
number of tracts	4172,sub-50006_dwi.Uncinate_Fasciculus_R.stat.txt	0
mean length(mm)	67.5356,sub-50006_dwi.Uncinate_Fasciculus_R.stat.txt	1
span(mm)	12.5783,sub-50006_dwi.Uncinate_Fasciculus_R.stat.txt	2
curl	5.36922,sub-50006_dwi.Uncinate_Fasciculus_R.stat.txt	3
elongation	4.37518,sub-50006_dwi.Uncinate_Fasciculus_R.stat.txt	4
diameter(mm)	15.4361,sub-50006_dwi.Uncinate_Fasciculus_R.stat.txt	5
volume(mm^3)	12638.5,sub-50006_dwi.Uncinate_Fasciculus_R.stat.txt	6
