iter	Passed	Remaining
0	2	386
1	5	357
2	7	341
3	10	325
4	12	319
5	15	318
6	16	295
7	18	292
8	21	289
9	24	294
10	26	288
11	29	291
12	31	291
13	34	292
14	37	289
15	39	284
16	42	287
17	44	283
18	46	278
19	49	274
20	51	270
21	53	269
22	57	271
23	59	269
24	63	271
25	66	272
26	70	273
27	73	271
28	75	267
29	77	263
30	81	264
31	83	261
32	86	259
33	89	258
34	92	255
35	94	250
36	96	247
37	98	243
38	100	240
39	103	238
40	105	235
41	108	231
42	110	228
43	112	225
44	114	221
45	116	218
46	120	217
47	123	215
48	125	212
49	127	209
50	129	206
51	132	203
52	134	201
53	137	198
54	139	195
55	141	191
56	143	188
57	145	185
58	147	182
59	150	180
60	153	178
61	155	175
62	157	172
63	159	169
64	162	167
65	164	164
66	168	163
67	170	160
68	172	157
69	175	155
70	177	152
71	179	149
72	181	146
73	184	144
74	187	142
75	189	139
76	191	136
77	193	134
78	195	131
79	198	129
80	201	126
81	203	123
82	205	121
83	207	118
84	210	116
85	212	113
86	215	111
87	218	109
88	221	107
89	224	104
90	226	102
91	229	99
92	231	97
93	233	94
94	237	92
95	239	89
96	242	87
97	244	84
98	246	82
99	249	79
100	252	77
101	255	75
102	257	72
103	259	69
104	261	67
105	264	64
106	267	62
107	271	60
108	273	57
109	275	55
110	277	52
111	281	50
112	284	47
113	286	45
114	288	42
115	290	40
116	293	37
117	295	35
118	298	32
119	300	30
120	303	27
121	305	25
122	307	22
123	310	20
124	313	17
125	316	15
126	318	12
127	321	10
128	323	7
129	327	5
130	330	2
131	333	0
